episode,reward,waiting_time,steps,avg_queue
718,-38,37.065,200,37.065
719,-38,37.065,200,37.065
720,-42,36.485,200,36.485
721,-52,35.8,200,35.8
722,-112,33.53,200,33.53
723,-42,36.365,200,36.365
724,-112,35.61,200,35.61
725,-58,36.4,200,36.4
726,-42,36.365,200,36.365
727,-116,35.185,200,35.185
728,-42,34.4,200,34.4
729,-42,34.4,200,34.4
730,-42,34.4,200,34.4
731,-38,37.065,200,37.065
732,-106,30.75,200,30.75
733,-54,35.825,200,35.825
734,-58,35.295,200,35.295
735,-42,34.4,200,34.4
736,-42,36.16,200,36.16
737,-46,36.0,200,36.0
738,-42,36.485,200,36.485
739,-38,37.065,200,37.065
740,-42,34.4,200,34.4
741,-38,37.065,200,37.065
742,-52,36.025,200,36.025
743,-46,36.0,200,36.0
744,-38,37.065,200,37.065
745,-50,34.285,200,34.285
746,-42,34.4,200,34.4
747,-58,33.64,200,33.64
748,-42,34.4,200,34.4
749,-62,33.68,200,33.68
750,-72,33.035,200,33.035
751,-148,28.38,200,28.38
752,-110,32.74,200,32.74
753,-94,33.73,200,33.73
754,-50,34.285,200,34.285
755,-62,35.51,200,35.51
756,-38,37.065,200,37.065
757,-38,37.065,200,37.065
758,-54,33.775,200,33.775
759,-146,32.435,200,32.435
760,-72,35.14,200,35.14
761,-88,34.24,200,34.24
762,-70,36.085,200,36.085
763,-52,35.8,200,35.8
764,-42,36.365,200,36.365
765,-42,34.4,200,34.4
766,-94,31.51,200,31.51
767,-42,34.4,200,34.4
768,-42,34.4,200,34.4
769,-58,34.185,200,34.185
770,-42,36.365,200,36.365
771,-42,34.4,200,34.4
772,-42,34.4,200,34.4
773,-80,32.405,200,32.405
774,-42,34.4,200,34.4
775,-56,33.465,200,33.465
776,-42,34.4,200,34.4
777,-76,32.72,200,32.72
778,-42,34.4,200,34.4
779,-42,34.4,200,34.4
780,-42,34.4,200,34.4
781,-46,36.0,200,36.0
782,-72,34.625,200,34.625
783,-42,34.4,200,34.4
784,-42,34.4,200,34.4
785,-54,33.775,200,33.775
